diff_booking_to_cancel,original_selling_amount,day_of_year,how_far_in_advance,length_of_stay,no_of_adults,hotel_brand_code,customer_nationality,charge_option,hotel_chain_code,original_payment_method
46,614.79,141,128,0,4,268,56,1,436,29
-1,204.29,168,70,0,2,310,44,1,106,29
-1,74.17,13,257,0,1,308,98,2,565,19
-1,86.85,189,20,0,1,423,98,1,369,29
-1,405.58,211,17,0,2,638,40,2,289,26
-1,85.2,213,24,0,2,475,18,2,504,4
-1,85.64,201,2,0,2,279,94,2,488,19
-1,71.86,195,40,0,1,872,82,1,535,29
-1,385.46,182,6,0,2,753,99,2,273,29
34,610.1,157,38,0,3,572,82,1,273,29
-1,163.12,210,4,0,4,340,39,2,73,19
-1,79.6,127,78,0,2,475,32,2,504,22
3,574.97,234,4,0,2,776,99,2,359,19
-1,93.92,186,2,0,2,412,86,2,336,29
-1,1007.04,246,20,0,2,283,86,2,543,29
-1,294.8,232,9,0,2,437,37,2,570,5
-1,83.1,210,2,0,2,139,98,2,434,29
11,350.4,194,66,0,2,869,8,2,24,29
-1,114.07,200,8,0,2,62,97,2,268,29
19,180.73,231,20,0,1,427,91,1,548,5
4,24.16,192,47,0,2,863,18,1,327,29
12,93.91,213,38,0,2,572,37,1,273,29
-1,17.84,219,52,0,4,502,40,2,518,2
13,741.92,161,26,0,4,851,18,1,463,29
-1,118.29,253,11,0,2,437,92,2,570,29
46,129.39,150,46,0,2,419,91,2,83,29
-1,82.46,249,1,0,4,470,86,2,104,29
5,227.89,230,5,0,4,753,32,2,273,29
-1,81.93,103,165,0,1,10,86,2,531,19
-1,152.88,80,107,0,2,427,3,2,548,29
-1,296.66,148,37,0,4,438,92,2,334,29
116,522.14,97,120,0,2,322,3,2,492,5
-1,30.12,208,2,0,2,713,92,2,593,29
-1,90.53,222,1,0,2,858,71,2,136,5
-1,133.32,213,13,0,2,754,3,2,298,5
-1,116.01,205,14,0,2,12,39,2,267,19
-1,160.18,259,0,0,1,264,59,2,492,19
-1,162.65,196,5,0,2,629,18,2,451,28
-1,136.05,178,30,0,2,530,99,2,202,11
49,275.54,189,49,0,2,794,39,1,288,29
-1,86.98,194,2,0,2,572,56,2,273,29
-1,341.9,147,44,0,2,815,86,1,79,19
-1,57.42,224,35,0,1,879,37,2,579,5
41,2212.5,149,41,0,4,696,98,1,44,29
-1,308.55,205,40,0,4,753,90,1,273,29
-1,1219.56,191,10,0,2,401,99,1,79,5
-1,451.58,234,25,0,1,685,39,2,136,29
-1,141.52,156,58,0,2,566,86,2,612,29
-1,733.12,107,90,0,4,410,91,1,386,19
-1,114.76,264,1,0,2,682,37,2,294,19
65,1162.11,91,92,0,2,875,91,1,79,29
-1,142.07,249,17,0,2,753,16,1,273,29
113,488.51,123,113,0,2,124,18,2,182,27
-1,46.2,236,6,0,1,188,44,2,319,26
56,273.72,204,56,0,2,490,92,1,617,5
-1,449.9,149,54,0,2,426,86,2,391,29
-1,51.9,242,4,0,1,498,82,2,254,29
-1,137.64,212,12,0,1,50,16,1,614,19
39,574.13,212,39,0,2,300,98,2,51,5
-1,62.2,248,2,0,2,107,92,2,549,5
-1,272.04,189,30,0,2,375,95,1,92,19
140,102.21,87,140,0,2,546,86,2,345,29
-1,74.92,246,2,0,2,320,56,2,548,29
216,440.9,333,218,0,2,741,37,1,168,29
-1,681.87,180,10,0,2,875,91,1,79,29
-1,408.18,127,110,0,2,188,91,2,319,16
113,213.0,153,117,0,1,580,86,2,505,19
-1,1446.92,213,5,0,1,1,97,2,280,29
-1,101.08,196,2,0,2,398,40,2,549,29
-1,21.27,231,13,0,2,251,82,2,525,19
-1,48.24,250,1,0,2,693,28,2,587,19
-1,117.82,213,28,0,2,879,86,2,579,19
-1,116.53,216,2,0,2,243,86,2,273,19
-1,82.01,264,2,0,2,432,82,2,119,29
1,46.1,200,1,0,1,469,44,2,536,29
-1,60.0,203,3,0,2,568,102,2,230,26
-1,354.28,198,55,0,2,402,54,2,268,29
-1,92.35,200,0,0,2,464,94,2,548,19
77,289.25,181,77,0,3,40,86,1,241,16
-1,673.46,185,47,0,4,464,56,2,548,29
-1,570.6,128,125,0,2,264,56,2,492,29
-1,694.2,166,50,0,2,2,86,2,70,19
9,127.85,260,10,0,2,51,91,1,200,19
-1,102.2,225,18,0,2,776,56,2,359,5
-1,233.37,270,3,0,2,412,56,2,336,19
-1,253.08,123,70,0,2,363,99,2,54,29
-1,134.16,184,88,0,2,121,82,1,618,19
-1,215.13,235,8,0,2,9,86,2,539,29
-1,350.5,235,32,0,2,526,2,2,222,19
-1,345.73,147,126,0,2,97,91,2,8,29
-1,49.37,268,1,0,1,286,44,2,176,5
-1,210.86,206,43,0,2,557,42,1,457,29
-1,118.43,169,49,0,1,427,67,2,548,29
6,420.75,256,7,0,6,696,86,2,44,19
-1,1983.4,44,177,0,10,447,54,1,96,29
-1,10.75,223,1,0,2,502,40,2,518,19
-1,81.91,262,8,0,2,790,86,1,614,19
116,282.25,125,130,0,2,761,18,1,393,5
-1,134.13,167,16,0,4,761,86,2,393,29
12,106.26,171,17,0,2,487,91,2,586,19
-1,95.73,255,5,0,1,859,67,2,548,29
-1,147.79,188,1,0,2,753,99,2,273,29
-1,256.23,160,36,0,2,410,91,2,386,29
-1,210.46,262,6,0,2,268,82,2,436,19
-1,339.15,228,30,0,3,572,82,2,273,29
-1,21.85,210,1,0,2,545,92,2,261,29
31,98.59,231,31,0,2,283,44,1,543,19
-1,386.14,272,1,0,2,874,74,2,548,19
-1,455.21,54,160,0,3,430,86,2,575,29
-1,88.36,133,99,0,4,243,32,2,273,29
21,196.04,203,22,0,2,869,86,1,24,19
122,1062.54,79,135,0,2,124,18,2,182,4
19,73.13,151,44,0,1,872,86,1,535,29
-1,40.18,206,15,0,2,502,74,2,518,29
14,445.38,205,39,0,4,166,80,1,502,19
15,225.95,203,44,0,3,78,86,2,110,29
-1,391.08,201,16,0,6,527,56,2,136,19
-1,216.49,208,2,0,2,536,92,2,110,19
-1,35.91,250,1,0,2,785,97,2,269,19
145,381.66,102,146,0,1,714,91,2,597,29
-1,118.52,212,41,0,2,49,40,2,115,19
-1,264.25,234,16,0,2,121,3,1,618,19
-1,115.05,186,18,0,2,27,40,2,295,3
-1,233.69,99,123,0,2,124,54,1,182,29
-1,684.05,246,7,0,2,610,90,2,231,19
-1,87.83,269,1,0,2,490,44,2,617,29
-1,80.58,158,49,0,1,487,86,2,586,5
-1,288.54,181,4,0,2,324,82,2,548,19
-1,579.34,190,2,0,2,152,81,2,614,29
-1,29.7,195,1,0,2,24,40,2,195,29
-1,309.3,177,6,0,4,495,3,2,441,29
55,849.04,95,93,0,4,70,18,1,141,29
2,146.5,185,3,0,1,227,97,2,492,29
-1,85.66,259,4,0,2,427,40,2,548,19
-1,22.25,249,2,0,2,27,40,2,295,29
-1,344.09,166,29,0,2,281,86,2,276,19
-1,957.39,209,14,0,2,638,91,2,289,19
-1,57.6,266,1,0,2,460,37,2,582,29
54,143.84,13,192,0,1,335,86,1,176,29
-1,175.09,182,12,0,2,297,99,2,583,29
-1,212.15,185,15,0,5,193,39,2,544,29
-1,204.35,193,8,0,2,147,99,2,13,19
4,674.51,219,6,0,2,804,18,2,614,19
-1,495.03,208,20,0,2,169,44,2,51,5
-1,102.8,191,5,0,1,427,40,2,548,19
141,813.37,71,141,0,2,508,18,1,69,19
-1,134.14,156,54,0,2,210,18,1,422,29
-1,150.62,249,5,0,4,251,40,2,525,29
-1,2225.5,215,14,0,4,840,18,2,326,29
-1,218.0,205,9,0,2,544,39,2,132,19
-1,514.16,113,126,0,2,504,16,2,454,19
-1,78.45,211,1,0,2,292,56,2,268,29
-1,155.94,191,3,0,2,572,56,2,273,19
8,338.58,180,20,0,1,387,91,1,334,19
30,17.0,195,35,0,2,427,40,2,548,19
-1,20.26,269,1,0,2,792,86,2,120,29
-1,43.92,247,9,0,2,584,92,1,356,29
-1,284.52,192,13,0,2,72,4,2,555,22
-1,49.56,249,8,0,2,784,92,2,544,26
-1,603.43,183,23,0,4,572,95,2,273,19
-1,73.79,241,1,0,2,475,95,2,504,4
-1,149.61,210,2,0,2,590,74,2,330,19
-1,148.76,204,7,0,2,432,82,1,119,5
127,192.49,80,131,0,2,164,82,2,274,19
4,150.45,246,0,0,1,3,97,2,548,19
-1,37.93,238,1,0,2,243,56,2,273,29
-1,147.84,212,61,0,2,513,56,2,359,29
-1,59.99,228,0,0,2,363,99,2,54,29
-1,112.17,210,19,0,2,398,37,2,549,27
-1,822.03,219,53,0,3,190,74,2,351,19
-1,136.52,136,77,0,2,78,91,2,110,16
26,114.94,17,185,0,2,78,91,1,110,5
13,298.14,208,33,0,2,51,86,1,200,29
-1,58.54,237,20,0,2,572,56,2,273,29
-1,203.16,199,67,0,2,733,95,1,47,29
37,319.9,143,53,0,1,741,102,1,168,29
-1,101.92,99,109,0,2,427,90,2,548,19
54,444.36,16,209,0,2,163,86,1,237,29
11,137.84,250,14,0,2,741,18,1,168,29
0,90.88,193,17,0,2,285,74,2,614,19
-1,2075.4,80,154,0,2,889,37,2,51,19
-1,553.44,127,77,0,8,225,56,2,176,29
-1,227.79,149,84,0,2,772,37,2,548,29
23,166.2,248,23,0,2,124,86,2,182,19
-1,35.24,225,6,0,1,869,66,1,24,19
-1,151.78,238,35,0,2,268,44,2,436,19
-1,225.06,225,21,0,2,819,86,1,327,19
-1,184.23,213,14,0,2,872,44,1,535,16
-1,1358.3,115,69,0,4,781,99,2,42,29
-1,56.83,175,10,0,2,427,18,2,548,26
-1,28.04,271,2,0,2,166,91,2,502,19
4,69.44,249,4,0,2,251,40,2,525,19
-1,66.81,245,0,0,2,804,16,2,614,29
-1,281.58,158,42,0,2,657,74,2,590,29
39,843.43,220,40,0,4,872,18,1,535,29
-1,96.26,249,7,0,1,277,39,2,406,29
5,187.76,231,9,0,10,586,39,1,145,29
-1,204.92,31,163,0,6,125,99,2,24,29
-1,123.8,185,25,0,2,864,40,2,51,19
-1,351.55,261,11,0,1,859,82,1,548,5
25,107.69,196,25,0,2,10,91,1,531,29
-1,374.72,182,10,0,2,356,18,2,124,4
-1,69.74,254,1,0,2,328,37,2,123,29
-1,29.8,208,1,0,2,603,37,2,298,19
-1,93.84,190,38,0,1,871,44,2,16,26
-1,357.67,197,6,0,2,889,86,2,51,29
-1,86.99,232,12,0,2,357,86,1,586,29
-1,103.36,238,22,0,2,753,37,2,273,29
-1,206.4,183,44,0,2,544,92,2,132,29
-1,140.76,206,17,0,4,50,86,1,614,29
-1,230.55,193,50,0,1,51,18,2,200,4
-1,214.35,177,18,0,3,706,44,1,531,16
-1,10.09,234,1,0,1,709,56,2,87,29
1,131.48,232,2,0,2,725,4,2,221,29
-1,104.27,216,1,0,2,339,37,2,212,26
-1,132.65,271,1,0,2,251,95,2,525,19
42,41.04,86,121,0,1,51,44,1,200,29
-1,135.88,199,15,0,2,403,86,2,260,19
12,160.03,178,20,0,1,872,37,1,535,29
-1,1868.0,87,172,0,4,889,86,2,51,19
-1,325.18,213,26,0,2,308,91,1,565,19
11,492.82,178,20,0,1,51,82,1,200,29
5,161.85,222,23,0,2,572,70,1,273,29
-1,305.0,205,14,0,2,312,18,2,267,4
-1,141.86,262,10,0,1,872,86,1,535,19
-1,9.67,245,1,0,1,709,56,2,87,29
-1,104.12,255,1,0,1,447,44,2,96,29
-1,59.75,245,1,0,2,460,37,2,582,29
-1,147.71,229,2,0,2,508,86,2,69,29
-1,292.76,77,112,0,2,487,91,2,586,19
-1,503.08,183,20,0,2,824,3,1,380,19
-1,430.57,186,11,0,2,508,91,2,69,16
11,355.68,209,19,0,3,308,91,1,565,29
63,161.92,112,156,0,2,403,37,1,260,29
-1,524.28,229,5,0,2,508,18,2,69,26
1,52.67,259,1,0,2,859,56,2,548,19
-1,131.93,216,3,0,2,432,82,2,119,19
-1,74.55,225,1,0,2,886,28,2,24,29
-1,266.68,172,33,0,4,13,37,2,516,19
1,108.08,224,1,0,2,513,18,2,359,4
-1,53.36,270,2,0,2,527,92,2,136,29
-1,151.72,193,64,0,2,231,67,1,618,29
90,267.43,134,90,0,2,10,44,2,531,26
-1,51.08,204,1,0,2,427,40,2,548,19
95,1894.28,143,95,0,8,571,86,2,562,19
-1,207.0,183,28,0,1,706,91,2,531,29
38,122.29,232,38,0,2,741,91,2,168,29
-1,64.98,183,1,0,3,251,40,2,525,29
50,145.4,14,187,0,1,225,86,1,176,29
-1,144.78,214,2,0,12,164,40,2,274,29
58,632.33,207,58,0,2,2,86,2,70,27
-1,329.21,172,19,0,4,128,82,2,249,29
45,1075.04,211,51,0,2,536,44,1,110,29
7,288.71,237,9,0,2,630,86,1,47,29
23,152.2,209,27,0,2,71,86,2,274,19
-1,258.98,188,13,0,2,727,91,1,79,29
-1,31.5,234,5,0,1,469,44,2,536,26
-1,107.94,195,1,0,2,320,56,2,548,19
-1,201.02,187,4,0,2,438,95,2,334,19
-1,858.2,193,23,0,2,514,82,2,99,29
-1,569.7,166,22,0,4,609,86,2,451,29
-1,281.94,218,13,0,2,488,86,2,434,29
-1,2434.49,90,121,0,2,508,37,1,69,19
36,144.82,234,38,0,2,741,91,2,168,29
-1,152.16,182,1,0,2,685,92,2,136,29
121,1360.68,82,179,0,8,42,3,1,409,19
10,2865.27,198,12,0,6,741,91,2,168,19
-1,142.45,253,3,0,1,78,95,2,110,27
-1,320.93,56,128,0,2,432,3,2,119,19
3,33.67,193,2,0,2,168,74,2,90,19
-1,261.48,114,93,0,2,566,28,1,612,29
-1,389.94,208,7,0,2,490,18,2,617,29
-1,601.36,221,39,0,4,871,18,2,16,26
-1,369.94,230,11,0,1,464,92,1,548,5
-1,113.0,142,119,0,2,455,32,2,454,29
19,243.16,209,19,0,2,761,86,1,393,29
-1,45.28,231,1,0,1,741,74,2,168,26
-1,79.88,267,5,0,4,527,56,2,136,29
-1,131.25,244,15,0,2,243,92,2,273,19
-1,87.18,258,0,0,2,753,16,2,273,19
29,139.91,195,57,0,2,741,74,1,168,29
-1,9.85,268,4,0,2,709,40,2,87,29
16,219.6,201,16,0,1,741,37,1,168,5
155,6064.24,62,155,0,12,182,54,1,353,29
-1,279.96,205,43,0,2,308,91,2,565,29
317,38.91,317,318,0,2,502,56,1,518,19
-1,99.13,229,3,0,2,268,92,2,436,29
-1,255.74,202,1,0,2,732,81,2,281,29
-1,110.59,203,4,0,1,469,67,2,536,26
-1,378.33,209,43,0,2,536,37,2,110,29
-1,57.61,268,2,0,2,572,74,2,273,19
-1,112.32,213,32,0,1,188,86,2,319,19
8,182.07,220,9,0,1,410,16,2,386,29
54,333.91,198,61,0,1,691,37,2,547,27
-1,160.19,201,9,0,2,345,56,2,268,19
-1,204.41,261,6,0,3,62,91,2,268,19
-1,71.56,254,11,0,2,42,82,2,409,19
9,669.52,202,21,0,1,431,37,2,334,5
-1,130.06,242,2,0,1,51,98,2,200,19
-1,265.38,198,22,0,2,653,86,2,566,19
-1,108.09,215,1,0,2,513,92,2,359,29
-1,142.47,190,19,0,2,50,86,2,614,27
-1,94.36,236,1,0,2,214,92,2,267,29
-1,332.98,226,9,0,4,206,56,2,605,29
-1,485.84,97,107,0,2,337,3,2,2,19
-1,84.75,199,2,0,2,562,32,2,614,19
-1,320.29,229,5,0,2,475,18,2,504,4
-1,103.75,217,52,0,2,427,20,2,548,19
-1,140.51,164,96,0,2,78,16,2,110,29
91,147.33,176,91,0,2,697,91,2,27,29
-1,66.41,201,1,0,2,310,102,2,106,29
-1,319.49,109,107,0,1,872,99,2,535,29
-1,384.17,200,3,0,2,578,86,2,10,29
-1,210.15,230,5,0,2,572,37,2,273,29
-1,307.12,232,20,0,3,78,86,2,110,29
-1,217.5,209,32,0,2,286,18,2,176,29
-1,478.47,252,4,0,2,750,60,2,327,29
-1,316.22,254,16,0,2,52,95,1,531,26
-1,19.38,229,1,0,1,772,18,2,548,4
-1,528.0,187,44,0,6,590,37,2,330,29
-1,129.16,223,22,0,2,321,44,2,58,19
-1,82.61,212,4,0,2,208,92,2,313,29
-1,421.08,194,56,0,2,321,40,2,58,29
-1,44.09,233,9,0,1,86,18,2,226,4
-1,296.58,186,5,0,3,544,97,2,132,29
-1,61.03,204,2,0,2,859,56,2,548,29
-1,104.11,169,44,0,2,322,99,2,492,29
-1,254.41,69,167,0,2,125,32,2,24,19
-1,1066.75,231,24,0,5,534,56,2,132,29
-1,48.84,229,1,0,2,534,51,2,132,29
-1,147.22,211,14,0,2,147,44,1,13,29
-1,100.24,227,11,0,2,24,40,2,195,16
12,265.72,248,12,0,2,815,37,1,79,19
-1,59.11,221,10,0,2,409,40,2,195,19
-1,133.14,259,10,0,1,512,18,2,455,4
-1,31.53,161,28,0,2,195,86,2,593,29
-1,197.41,143,120,0,1,128,3,2,249,29
6,26.47,211,7,0,3,604,74,2,187,29
-1,160.32,173,32,0,2,546,86,2,345,29
-1,137.74,215,2,0,1,749,92,2,397,29
-1,144.04,250,16,0,2,138,40,1,51,29
-1,177.19,174,94,0,2,227,37,2,492,29
-1,136.37,271,2,0,2,815,18,2,79,4
1,301.98,184,26,0,4,226,82,1,613,19
-1,68.04,220,0,0,2,827,32,2,3,22
-1,119.21,183,30,0,2,859,40,2,548,29
-1,53.14,237,1,0,2,741,37,2,168,29
-1,301.03,90,121,0,2,852,37,2,378,29
-1,34.84,201,8,0,2,584,92,2,356,18
-1,892.52,168,27,0,4,741,82,1,168,19
-1,135.58,266,1,0,2,292,82,2,268,19
-1,33.98,218,5,0,2,58,56,2,157,19
-1,157.06,225,2,0,2,412,56,2,336,29
-1,20.29,231,1,0,2,502,74,2,518,4
-1,309.57,157,28,0,3,427,82,2,548,29
40,446.24,173,42,0,2,447,91,1,96,19
-1,295.64,250,2,0,4,328,18,2,123,4
-1,303.92,221,29,0,2,592,91,1,482,29
32,166.62,181,40,0,2,430,98,1,575,29
-1,382.43,228,28,0,1,51,18,1,200,16
-1,73.97,224,1,0,2,475,95,2,504,4
-1,164.56,210,2,0,2,703,92,2,45,19
6,172.44,194,21,0,1,546,18,2,345,29
58,493.49,155,59,0,2,741,37,1,168,29
82,549.87,127,85,0,2,124,37,1,182,19
-1,403.54,121,103,0,2,572,54,2,273,27
95,2263.54,133,95,0,2,854,73,2,357,19
-1,139.54,170,56,0,3,204,3,1,17,5
-1,135.18,221,7,0,1,78,44,2,110,16
-1,448.42,154,80,0,2,482,37,2,527,29
63,70.28,156,63,0,2,871,91,1,16,16
-1,11.06,198,1,0,2,709,56,2,87,29
-1,157.82,234,17,0,1,458,44,2,51,19
-1,201.92,221,5,0,1,464,37,2,548,29
-1,255.84,192,11,0,5,208,18,2,313,30
75,1547.2,107,76,0,4,131,82,1,79,29
-1,157.54,196,13,0,2,430,86,1,575,5
-1,12.1,251,1,0,2,502,40,2,518,15
-1,125.28,191,4,0,1,412,44,2,336,29
114,38.69,66,119,0,1,208,44,2,313,29
134,522.06,68,141,0,3,854,86,1,357,19
14,446.12,205,14,0,2,475,99,2,504,29
-1,156.31,205,7,0,2,260,92,2,461,29
-1,83.21,234,39,0,2,741,91,1,168,16
-1,364.52,198,60,0,1,52,44,2,531,26
-1,80.86,182,1,0,2,124,37,2,182,29
-1,36.5,243,1,0,2,886,98,2,24,29
-1,2768.36,179,10,0,2,657,37,1,590,29
-1,30.37,204,1,0,2,863,95,2,327,19
-1,239.96,251,5,0,2,50,99,2,614,29
-1,61.99,270,3,0,1,741,95,2,168,29
-1,190.47,202,55,0,5,404,56,2,303,5
85,83.33,266,1,0,2,50,3,2,614,19
60,517.48,199,65,0,2,56,37,1,110,29
-1,1209.0,50,185,0,2,188,54,2,319,5
21,1040.64,216,22,0,4,776,7,2,359,29
-1,143.5,208,22,0,2,688,86,2,14,19
-1,44.07,181,61,0,2,180,18,2,298,27
19,348.48,182,22,0,2,776,99,2,359,29
-1,16.41,184,2,0,2,24,40,2,195,29
-1,138.74,207,32,0,2,889,86,2,51,19
-1,220.33,234,18,0,3,465,95,2,51,29
-1,86.91,221,5,0,2,264,82,2,492,29
-1,138.11,262,11,0,2,171,86,2,126,5
-1,167.74,232,5,0,1,309,81,2,604,29
180,305.19,11,181,0,2,188,91,1,319,29
-1,116.38,210,13,0,2,398,37,2,549,5
49,627.95,183,56,0,1,147,40,1,13,29
11,632.5,219,11,0,2,399,102,1,359,19
-1,269.58,43,191,0,2,487,91,1,586,29
187,680.48,337,214,0,2,745,91,1,561,19
-1,190.23,230,29,0,3,335,44,1,176,5
-1,75.0,272,1,0,2,673,40,2,257,19
-1,706.38,220,21,0,3,243,43,2,273,29
-1,69.41,249,11,0,2,621,43,2,539,19
-1,122.98,220,17,0,1,124,86,2,182,29
-1,45.14,200,3,0,2,792,40,2,120,16
-1,136.14,207,24,0,2,860,18,2,77,26
-1,528.56,248,2,0,2,420,98,2,34,5
-1,262.76,205,4,0,3,487,44,2,586,19
-1,494.68,37,161,0,4,231,3,1,618,29
-1,21.27,216,32,0,1,854,95,2,357,26
-1,185.7,248,1,0,6,858,74,2,136,19
9,179.35,251,9,0,2,94,91,1,466,19
-1,170.61,217,15,0,2,687,91,2,235,19
-1,90.32,128,95,0,2,322,86,2,492,19
17,915.0,184,17,0,2,526,86,2,222,19
-1,189.42,261,5,0,2,337,82,2,2,29
-1,34.43,210,1,0,1,546,86,2,345,29
-1,9.65,261,1,0,2,502,40,2,518,26
-1,458.61,200,42,0,3,447,82,1,96,29
-1,237.27,234,5,0,2,872,86,2,535,19
-1,258.18,187,5,0,2,427,86,2,548,19
9,200.59,229,9,0,2,562,16,2,614,19
-1,129.4,212,4,0,4,678,28,2,24,29
-1,457.12,208,3,0,3,478,18,2,287,4
-1,457.79,205,46,0,2,147,44,1,13,29
31,962.26,154,51,0,2,447,37,1,96,29
-1,686.92,215,22,0,4,312,37,2,267,5
-1,160.98,231,13,0,2,513,91,2,359,29
155,127.77,54,155,0,4,488,98,1,434,29
-1,201.53,262,6,0,3,50,86,1,614,5
-1,882.12,238,6,0,3,876,37,2,535,19
-1,29.62,216,0,0,1,111,32,2,162,29
-1,23.02,192,1,0,2,678,40,2,24,15
-1,164.85,140,51,0,2,702,40,2,120,29
-1,430.04,192,24,0,1,426,37,2,391,19
120,182.53,94,120,0,2,614,86,1,616,19
-1,15.39,238,1,0,2,502,74,2,518,19
-1,31.45,248,1,0,2,427,66,2,548,19
-1,644.08,237,16,0,3,169,82,2,51,29
62,135.96,194,65,0,2,262,44,1,543,29
10,171.9,218,13,0,2,10,82,1,531,19
-1,172.78,189,26,0,2,872,86,2,535,29
-1,101.35,258,13,0,2,872,86,1,535,19
-1,49.6,238,5,0,2,690,86,1,167,19
-1,203.1,218,31,0,4,703,18,2,45,30
8,65.9,237,21,0,2,872,37,1,535,29
-1,200.4,143,84,0,2,862,32,2,9,19
-1,548.6,259,13,0,3,324,81,1,548,29
35,1791.38,173,35,0,5,182,40,2,353,26
-1,64.39,229,3,0,2,869,66,2,24,19
-1,123.08,219,10,0,2,637,44,1,139,29
-1,41.98,188,1,0,2,251,40,2,525,26
-1,89.16,249,5,0,1,112,44,2,535,16
-1,94.54,262,3,0,2,214,92,2,267,29
100,368.28,111,100,0,4,226,98,2,613,29
-1,206.84,193,3,0,2,858,44,2,136,5
8,73.0,181,8,0,4,602,3,2,75,29
-1,69.88,207,1,0,3,116,91,2,614,19
-1,39.1,264,9,0,1,308,86,2,565,29
-1,114.94,182,2,0,4,784,37,2,544,19
1,466.5,226,1,0,6,495,56,2,441,29
-1,114.39,206,55,0,4,663,18,1,273,29
-1,220.82,228,12,0,2,375,3,2,92,29
-1,35.52,248,7,0,2,251,40,2,525,3
-1,694.3,175,11,0,2,464,92,2,548,29
56,270.04,107,92,0,3,854,91,1,357,19
-1,76.92,218,18,0,2,243,86,2,273,5
13,263.16,205,13,0,2,790,86,2,614,19
-1,41.8,234,25,0,2,87,40,1,120,29
-1,249.36,218,13,0,2,268,37,2,436,19
-1,78.44,138,105,0,2,859,18,2,548,26
-1,75.52,271,1,0,2,671,86,2,341,29
-1,65.28,269,4,0,1,546,86,2,345,19
-1,243.2,256,4,0,2,546,86,2,345,29
-1,162.42,217,15,0,2,527,56,2,136,19
-1,163.47,191,54,0,2,188,86,2,319,29
-1,62.19,228,4,0,1,111,18,2,162,29
-1,286.38,197,30,0,2,78,44,1,110,16
-1,116.41,194,3,0,2,671,86,2,341,29
-1,316.3,162,51,0,2,248,86,2,422,5
-1,429.55,188,67,0,2,741,91,1,168,29
-1,38.2,188,2,0,4,502,40,2,518,19
-1,526.29,321,310,0,2,827,95,2,3,19
-1,49.74,179,4,0,1,566,18,2,612,26
1,926.38,188,2,0,5,823,92,1,568,19
-1,20.25,185,1,0,2,778,74,2,304,19
-1,478.31,182,87,0,1,727,51,2,79,19
65,137.7,169,83,0,2,709,91,1,87,16
-1,75.09,268,4,0,2,52,44,2,531,29
-1,209.86,182,7,0,2,138,92,2,51,19
-1,189.27,168,15,0,2,708,37,2,570,19
31,46.17,107,89,0,2,184,18,2,417,26
-1,207.53,210,2,0,2,741,16,2,168,29
-1,299.3,262,1,0,2,475,44,2,504,29
-1,428.6,184,8,0,2,311,37,2,51,29
-1,257.87,147,46,0,1,687,91,1,235,29
-1,410.87,237,11,0,2,322,61,2,492,29
-1,95.56,248,2,0,2,398,40,2,549,29
-1,766.02,194,5,0,3,585,82,2,18,19
-1,75.81,195,13,0,2,756,82,2,52,29
9,137.63,193,65,0,1,879,91,1,579,29
-1,185.86,189,6,0,2,512,18,2,455,30
-1,266.2,248,7,0,1,815,67,2,79,29
-1,63.02,185,10,0,2,312,16,2,267,29
-1,323.21,194,11,0,2,52,18,1,531,19
-1,135.47,174,24,0,1,512,18,2,455,26
53,664.04,185,53,0,2,631,14,1,472,19
-1,3004.05,227,43,0,2,322,42,2,492,29
95,288.24,89,97,0,6,498,91,2,254,29
21,173.24,201,23,0,4,29,92,2,560,16
-1,1299.82,132,52,0,5,854,40,1,357,29
-1,427.94,175,38,0,3,572,99,1,273,29
-1,378.23,174,72,0,1,825,92,1,492,5
7,468.3,195,17,0,2,363,99,2,54,29
-1,416.49,232,6,0,1,765,90,2,370,29
-1,1000.91,212,9,0,2,475,18,2,504,4
-1,204.09,180,62,0,2,375,28,2,92,29
18,209.52,204,20,0,1,449,85,1,544,19
-1,190.55,234,38,0,2,804,25,2,499,29
-1,17.22,241,1,0,2,584,92,2,356,29
-1,881.04,244,6,0,4,829,82,2,506,29
89,159.28,135,90,0,2,427,92,1,548,29
-1,120.34,208,7,0,2,755,32,2,3,29
52,193.99,163,54,0,2,250,99,2,544,5
-1,202.33,183,57,0,2,147,40,1,13,29
-1,203.51,165,44,0,2,206,78,2,605,19
-1,125.0,204,1,0,3,116,91,2,614,19
-1,266.27,229,1,0,2,815,37,2,79,29
-1,951.8,222,33,0,4,230,86,1,168,19
-1,374.78,253,13,0,2,562,99,1,614,29
-1,123.74,233,33,0,2,426,95,1,391,29
-1,291.66,251,7,0,2,51,86,2,200,19
33,53.2,192,34,0,2,207,18,1,510,19
-1,726.21,185,18,0,5,193,39,2,544,29
-1,180.84,245,13,0,2,854,56,2,357,29
-1,234.06,260,5,0,3,478,99,2,287,5
-1,228.35,204,0,0,1,771,39,2,359,5
-1,113.5,163,98,0,2,148,74,2,72,19
-1,1234.86,72,139,0,8,50,13,2,614,19
-1,650.22,255,9,0,6,402,56,2,268,19
1,30.08,240,1,0,2,630,44,2,47,29
121,108.45,100,121,0,2,262,37,1,543,29
-1,575.36,141,91,0,4,56,37,1,110,29
-1,266.47,206,15,0,2,549,3,2,72,29
-1,79.2,258,7,0,6,251,40,2,525,29
-1,291.95,226,10,0,2,51,91,1,200,29
-1,274.6,249,9,0,2,125,96,2,24,29
-1,269.41,202,16,0,2,872,86,2,535,19
